(1, 1887)	[0.0, 0, 0, 0, 0]
(1, 1530)	[0.0, 0, 0, 0, 0]
(1, 826)	[0.0, 0, 0, 0, 0]
(1, 1831)	[0.0, 0, 0, 0, 0]
(1, 2718)	[0.0, 0, 0, 0, 0]
(1, 1330)	[0.0, 0, 0, 0, 0]
(1, 2557)	[0.0, 0, 0, 0, 0]
(1, 2692)	[0.0, 0, 0, 0, 0]
(1, 2555)	[0.0, 0, 0, 0, 0]
(1, 1977)	[0.0, 0, 0, 0, 0]
(1, 1479)	[0.0, 0, 0, 0, 0]
(1, 1328)	[0.0, 0, 0, 0, 0]
(1, 1068)	[0.0, 0, 0, 0, 0]
(1, 3321)	[0.0, 0, 0, 0, 0]
(1, 2528)	[0.0, 0, 0, 0, 0]
(1, 1338)	[0.0, 0, 0, 0, 0]
(1, 1486)	[0.0, 0, 0, 0, 0]
(1, 3625)	[0.0, 0, 0, 0, 0]
(1, 1586)	[0.0, 0, 0, 0, 0]
(1, 1883)	[0.0, 0, 0, 0, 0]
(1, 1663)	[0.0, 0, 0, 0, 0]
(1, 245)	[1.0, 0, 0, 0, 0]
(1, 3196)	[0.0, 0, 0, 0, 0]
(1, 220)	[1.0, 0, 0, 0, 0]
(1, 3106)	[0.0, 0, 0, 0, 0]
(1, 2667)	[0.0, 0, 0, 0, 0]
(1, 2983)	[0.0, 0, 0, 0, 0]
(1, 2520)	[0.0, 0, 0, 0, 0]
(1, 956)	[0.0, 0, 0, 0, 0]
(1, 3667)	[0.0, 0, 0, 0, 0]
(1, 1036)	[0.0, 0, 0, 0, 0]
(1, 2508)	[0.0, 0, 0, 0, 0]
(1, 223)	[1.0, 0, 0, 0, 0]
(1, 3168)	[0.0, 0, 0, 0, 0]
(1, 3503)	[0.0, 0, 0, 0, 0]
(1, 2888)	[0.0, 0, 0, 0, 0]
(1, 1004)	[0.0, 0, 0, 0, 0]
(1, 1491)	[0.0, 0, 0, 0, 0]
(1, 1801)	[0.0, 0, 0, 0, 0]
(1, 227)	[1.0, 0, 0, 0, 0]
(1, 2438)	[0.0, 0, 0, 0, 0]
(1, 1923)	[0.0, 0, 0, 0, 0]
(1, 81)	[1.0, 0, 0, 0, 0]
(1, 3172)	[0.0, 0, 0, 0, 0]
(1, 2200)	[0.0, 0, 0, 0, 0]
(1, 731)	[0.0, 0, 0, 0, 0]
(1, 1113)	[0.0, 0, 0, 0, 0]
(1, 765)	[0.0, 0, 0, 0, 0]
(1, 850)	[0.0, 0, 0, 0, 0]
(1, 1779)	[0.0, 0, 0, 0, 0]
(1, 3612)	[0.0, 0, 0, 0, 0]
(1, 1933)	[0.0, 0, 0, 0, 0]
(1, 2587)	[0.0, 0, 0, 0, 0]
(1, 1807)	[0.0, 0, 0, 0, 0]
(1, 1193)	[0.0, 0, 0, 0, 0]
(1, 248)	[1.0, 0, 0, 0, 0]
(1, 2694)	[0.0, 0, 0, 0, 0]
(1, 1225)	[0.0, 0, 0, 0, 0]
(1, 2955)	[0.0, 0, 0, 0, 0]
(1, 2452)	[0.0, 0, 0, 0, 0]
(1, 787)	[0.0, 0, 0, 0, 0]
(1, 2310)	[0.0, 0, 0, 0, 0]
(1, 1540)	[0.0, 0, 0, 0, 0]
(1, 856)	[0.0, 0, 0, 0, 0]
(1, 3180)	[0.0, 0, 0, 0, 0]
(1, 2357)	[0.0, 0, 0, 0, 0]
(1, 1254)	[0.0, 0, 0, 0, 0]
(1, 3717)	[0.0, 0, 0, 0, 0]
(1, 1125)	[0.0, 0, 0, 0, 0]
(1, 1361)	[0.0, 0, 0, 0, 0]
(1, 3360)	[0.0, 0, 0, 0, 0]
(1, 3112)	[0.0, 0, 0, 0, 0]
(1, 3317)	[0.0, 0, 0, 0, 0]
(1, 320)	[1.0, 0, 0, 0, 0]
(1, 1476)	[0.0, 0, 0, 0, 0]
