1	21	4010
1	207	4010
1	250	4010
1	348	4010
1	351	4010
1	184	4010
1	151	4010
1	104	4010
1	83	4010
1	50	4010
1	165	4010
1	64	4010
1	177	4010
1	204	4010
1	197	4010
1	92	4010
1	112	4010
1	195	4010
1	350	4010
1	198	4010
1	12	4010
1	72	4010
1	49	4010
1	212	4010
1	192	4010
1	141	4010
1	340	4010
1	178	4010
1	252	4010
1	27	4010
1	37	4010
1	190	4010
1	152	4010
1	342	4010
1	54	4010
1	193	4010
1	34	4010
1	26	4010
1	349	4010
1	210	4010
1	337	4010
1	24	4010
1	149	4010
1	519	4010
1	157	4010
1	8	4010
1	132	4010
1	137	4010
1	353	4010
1	216	4010
1	352	4010
1	196	4010
1	51	4010
1	39	4010
1	230	4010
1	58	4010
1	71	4010
1	31	4010
1	521	4010
1	217	4010
1	341	4010
1	180	4010
1	100	4010
1	543	4010
1	277	4010
1	206	4010
1	135	4010
1	167	4010
1	111	4010
1	75	4010
1	36	4010
1	475	4010
1	483	4010
1	142	4010
1	46	4010
1	17	4010
1	339	4010
1	25	4010
1	130	4010
1	524	4010
1	615	4010
1	166	4010
1	42	4010
1	208	4010
1	94	4010
1	133	4010
1	276	4010
1	84	4010
1	520	4010
1	20	4010
1	188	4010
1	347	4010
1	182	4010
1	55	4010
1	47	4010
1	48	4010
1	29	4010
1	28	4010
1	205	4010
1	148	4010
1	76	4010
1	60	4010
1	97	4010
1	202	4010
1	534	4010
1	120	4010
1	200	4010
1	96	4010
1	30	4010
1	344	4010
1	14	4010
1	131	4010
1	338	4010
1	253	4010
1	209	4010
1	223	4010
1	98	4010
1	150	4010
1	153	4010
1	52	4010
1	74	4010
1	343	4010
1	191	4010
1	201	4010
1	93	4010
1	38	4010
1	345	4010
1	179	4010
1	144	4010
1	523	4010
1	256	4010
1	257	4010
1	222	4010
1	251	4010
1	122	4010
1	16	4010
1	181	4010
1	44	4010
1	211	4010
1	114	4010
1	522	4010
1	136	4010
1	482	4010
1	15	4010
1	59	4010
1	6	4010
1	285	4010
1	45	4010
1	183	4010
1	189	4010
1	32	4010
1	57	4010
1	53	4010
1	33	4010
1	35	4010
1	473	4010
1	66	4010
1	199	4010
1	99	4010
1	113	4010
1	121	4010
1	194	4010
1	126	4010
1	108	4010
1	134	4010
1	70	4010
1	119	4010
1	346	4010
1	258	4010
1	203	4010
1	13	4010
1	176	4010
1	56	4010
1	107	4010
1	95	4010
1	158	4010
