(1, 936)	[0.0, 5.096924838808282e-07, 0.0, 0.0002062365946213496, 0.0]
(1, 1507)	[0.0, 0.0, 0.0, 6.935389907620606e-06, 0.0]
(1, 873)	[0.0, 2.835597977480161e-07, 0.0, 0.0, 0.0]
(1, 2671)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 943)	[0.0, 1.2045882423842133e-06, 0.0, 0.00010096673336154511, 5.584822662658322e-06]
(1, 642)	[0.0, 1.1468080887318635e-05, 0.0, 0.0, 9.047767158292607e-05]
(1, 1653)	[0.0, 0.0, 0.0, 6.935389907620606e-06, 0.0]
(1, 684)	[0.0, 2.317291978062242e-06, 0.0, 1.3994626063591579e-05, 3.7651334428372037e-06]
(1, 3449)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 2588)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 1554)	[0.0, 0.0, 0.0, 0.003330721003134796, 0.0]
(1, 3016)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 1373)	[0.0, 1.2045882423842133e-06, 0.0, 0.00010096673336154511, 5.584822662658322e-06]
(1, 3170)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 21)	[1.0, 3.927776569332211e-06, 0.0, 0.0, 2.6355934099860437e-05]
(1, 3634)	[0.0, 0.0, 0.00039184952978056425, 0.0, 0.0]
(1, 1097)	[0.0, 7.728850303301712e-05, 0.0, 0.0006530825496342737, 2.259433465350393e-05]
(1, 1238)	[0.0, 1.2045882423842133e-06, 0.0, 0.00010096673336154511, 5.584822662658322e-06]
(1, 207)	[1.0, 6.55346473816549e-08, 0.0, 8.107231650632364e-06, 0.0]
(1, 2509)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 1970)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 2295)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 1533)	[0.0, 0.0, 0.0, 6.935389907620606e-06, 0.0]
(1, 3538)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 2414)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 250)	[1.0, 6.59679343064923e-07, 0.0, 0.00017415534656913965, 3.455463225578168e-07]
(1, 2967)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 1677)	[0.0, 0.0, 0.0, 6.935389907620606e-06, 0.0]
(1, 3551)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 1320)	[0.0, 4.576525442512903e-07, 0.0, 4.6260013932427715e-05, 8.97622049732951e-06]
(1, 3564)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 3378)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 2890)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 2717)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 1690)	[0.0, 0.0, 0.0, 6.935389907620606e-06, 0.0]
(1, 3140)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 1466)	[0.0, 0.0, 0.0, 1.6327063740856843e-05, 0.0]
(1, 3462)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 633)	[0.0, 2.317291978062242e-06, 0.0, 1.3994626063591579e-05, 3.7651334428372037e-06]
(1, 2389)	[0.0, 0.0, 7.836990595611286e-05, 0.0, 0.0]
(1, 1665)	[0.0, 0.0, 0.0, 1.6327063740856843e-05, 0.0]
(1, 3549)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 2154)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 899)	[0.0, 6.55346473816549e-08, 0.0, 8.107231650632364e-06, 0.0]
(1, 2637)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 2996)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 1951)	[0.0, 0.0, 0.0002612330198537095, 0.0, 0.0]
(1, 348)	[1.0, 4.825733125376407e-07, 0.0, 2.432169495189709e-05, 0.0]
(1, 882)	[0.0, 1.5298954692894084e-05, 0.0, 5.329153605015674e-05, 0.00011007334290351873]
(1, 826)	[0.0, 2.835597977480161e-07, 0.0, 0.0, 0.0]
(1, 351)	[1.0, 4.825733125376407e-07, 0.0, 2.432169495189709e-05, 0.0]
(1, 785)	[0.0, 4.226356397493051e-06, 0.0, 0.00039184952978056425, 8.523874170345721e-05]
(1, 981)	[0.0, 2.268478381984129e-06, 0.0, 0.0005660048763497038, 0.0]
(1, 3533)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 939)	[0.0, 6.55346473816549e-08, 0.0, 8.107231650632364e-06, 0.0]
(1, 929)	[0.0, 6.55346473816549e-08, 0.0, 8.107231650632364e-06, 0.0]
(1, 2474)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 1671)	[0.0, 0.0, 0.0, 7.256472773714152e-05, 0.0]
(1, 2104)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 3599)	[0.0, 0.0, 6.530825496342737e-05, 0.0, 0.0]
(1, 657)	[0.0, 1.2045882423842133e-06, 0.0, 0.00010096673336154511, 5.584822662658322e-06]
(1, 896)	[0.0, 6.55346473816549e-08, 0.0, 8.107231650632364e-06, 0.0]
(1, 840)	[0.0, 2.7091489152835372e-05, 0.0, 0.00024490595611285264, 0.0004364254167835321]
(1, 1200)	[0.0, 6.155451438018488e-05, 0.0, 0.004205851619644723, 0.0005628135335945816]
(1, 1783)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
(1, 2054)	[0.0, 0.0, 0.0007836990595611285, 0.0, 0.0]
